distance_plan_m,easting_epsg25832,northing_epsg25832,raw_dgm_nhn_m,model_nhn_m,bridge_estimated
677.96011,353710.00564,5578159.17295,590.12792,590.12940,0.00000
679.95999,353708.05782,5578159.63392,589.95684,589.96091,0.00000
681.95987,353706.12095,5578160.14210,589.79907,589.79502,0.00000
683.95975,353704.19677,5578160.69761,589.62808,589.62694,0.00000
685.95964,353702.28706,5578161.30057,589.45555,589.45678,0.00000
687.95952,353700.39357,5578161.95108,589.28565,589.28823,0.00000
689.95940,353698.51806,5578162.64925,589.12285,589.12259,0.00000
691.95928,353696.66224,5578163.39512,588.95731,588.95964,0.00000
693.95916,353694.82593,5578164.18592,588.79405,588.80283,0.00000
695.95905,353693.00648,5578165.01516,588.65853,588.65294,0.00000
697.95893,353691.20105,5578165.87613,588.49827,588.50622,0.00000
699.95881,353689.40683,5578166.76210,588.36433,588.36582,0.00000
701.95869,353687.62099,5578167.66634,588.22538,588.23548,0.00000
703.95858,353685.84071,5578168.58215,588.11383,588.11733,0.00000
705.95846,353684.06349,5578169.50360,588.00782,588.00763,0.00000
707.95834,353682.28867,5578170.42911,587.89695,587.90327,0.00000
709.95822,353680.51615,5578171.35855,587.80287,587.80699,0.00000
711.95811,353678.74585,5578172.29176,587.71599,587.71911,0.00000
713.95799,353676.97768,5578173.22859,587.63648,587.63683,0.00000
715.95787,353675.21156,5578174.16891,587.55461,587.55870,0.00000
717.95775,353673.44739,5578175.11255,587.48367,587.48563,0.00000
719.95763,353671.68509,5578176.05938,587.41630,587.41644,0.00000
721.95752,353669.92459,5578177.00926,587.34868,587.34892,0.00000
723.95740,353668.16578,5578177.96202,587.27920,587.28409,0.00000
725.95728,353666.40859,5578178.91753,587.22457,587.22279,0.00000
727.95716,353664.65292,5578179.87564,587.16486,587.16048,0.00000
729.95705,353662.89870,5578180.83620,587.08981,587.09739,0.00000
731.95693,353661.14584,5578181.79906,587.03713,587.04032,0.00000
733.95681,353659.39424,5578182.76409,586.99261,586.98731,0.00000
735.95669,353657.64383,5578183.73113,586.92922,586.93295,0.00000
737.95658,353655.89452,5578184.70003,586.88188,586.87721,0.00000
739.95646,353654.14622,5578185.67065,586.81978,586.81855,0.00000
741.95634,353652.39885,5578186.64284,586.75215,586.76056,0.00000
743.95622,353650.65232,5578187.61646,586.71182,586.70717,0.00000
745.95610,353648.90654,5578188.59136,586.65412,586.65384,0.00000
747.95599,353647.16143,5578189.56739,586.59415,586.60238,0.00000
749.95587,353645.41690,5578190.54440,586.55868,586.55815,0.00000
751.95575,353643.67287,5578191.52225,586.51441,586.51965,0.00000
753.95563,353641.92925,5578192.50080,586.48994,586.48280,0.00000
755.95552,353640.18595,5578193.47989,586.44061,586.44332,0.00000
757.95540,353638.44289,5578194.45937,586.40163,586.40464,0.00000
759.95528,353636.69999,5578195.43911,586.36946,586.36998,0.00000
761.95516,353634.95714,5578196.41895,586.33709,586.33797,0.00000
763.95505,353633.21428,5578197.39875,586.30616,586.30810,0.00000
765.95493,353631.47132,5578198.37837,586.28070,586.27989,0.00000
